property_type,department,lat,lon,area_m2,price_cop
house,Bogotá D.C,4.721,-74.045,268.0,1200000000.0
house,Atlántico,11.016,-74.865,112.0,220000000.0
house,Valle del Cauca,3.4311351,-76.5354065,360.0,270000000.0
house,Bogotá D.C,4.725,-74.025,73.0,300000000.0
house,Bogotá D.C,4.668,-74.066,120.0,450000000.0
house,Bogotá D.C,4.694,-74.044,208.0,540000000.0
house,Atlántico,11.014,-74.943,119.0,310000000.0
house,Bogotá D.C,4.712,-74.079,321.0,1650000000.0
house,Bogotá D.C,4.731,-74.069,126.0,460000000.0
apartment,Cundinamarca,4.746253708,-74.0236006974,71.0,250000000.0
house,Valle del Cauca,3.482,-76.523,99.0,227000000.0
house,Cundinamarca,,,312.0,350000000.0
house,Atlántico,10.981,-74.835,300.0,800000000.0
house,Cundinamarca,4.854,-74.053,118.0,850000000.0
house,Magdalena,11.242,-74.213,64.0,350000000.0
house,Bogotá D.C,4.71,-74.027,200.0,1200000000.0
house,Bogotá D.C,4.6780132,-74.0772199,150.0,750000000.0
house,Cundinamarca,4.85,-74.079,445.0,1700000000.0
house,Atlántico,10.984,-74.961,99.0,365000000.0
house,Bogotá D.C,4.732,-74.043,124.0,400000000.0
house,Magdalena,11.24,-74.178,114.0,295513000.0
house,Bogotá D.C,4.747,-74.062,112.0,350000000.0
house,Valle del Cauca,3.452,-76.532,293.0,400000000.0
house,Antioquia,6.061,-75.503,255.0,1115000000.0
house,Bogotá D.C,4.692,-74.098,220.0,1150000000.0
house,Atlántico,11.004,-74.804,160.0,385000000.0
house,Bolívar,10.437,-75.532,75.0,435000000.0
apartment,Cundinamarca,0.0012984315,0.0004628822,140.0,820000000.0
house,Atlántico,11.009,-74.797,217.0,500000000.0
